Emotion,Text
joy,When I was sick my husband bought me a piece of cake.
neutral," Oh , well , I looked around . There wasn't any other space . I waited a while and nobody came . I'm sorry if I've taken your place . "
fear,Meanwhile the flood of letters of a very different sort from anxious Hong Kong citizens to this and every other newspaper office continues . 
sadness," Sorry , Sally , it's not your fault . "
sadness," Oh , I'm sorry . I didn't see the stop sign at the corner . I didn't mean it . "
neutral, I know . I've even worked up a sweat . 
sadness,"A and I were walking along the new Asia stairway to the Chung Chi college for our lecture and I saw him with her.  He put one arm around her shoulder and laugher brightly and joyfully.  I did not dare and did not want to look, just walked by them quickly.  The interest of talking to A disappeared and I just wanted to remain silent.  But I did not want A to know and so I left him and went to F.  I should have expected this to happen."
joy,"I went to fetch my girl-friend at the station. When the train arrived and I saw her descending and running up to me, I felt glad."
neutral, Tomorrow . 
neutral, How's that ? 
neutral, Oh where was that ? 
sadness, Very sorry that I have caused you so much trouble . 
joy,"This happened when I was in the 10th standard.  The paddy crops were in a bad shape as it had not rained and there was no water in the well, so I was in a very sad mood.  I came to the conclusion that I would ignore the paddy field, just 12 hours after this it rained for one hour.  This was a very tense time and the rain brought me tremendous pleasure."
sadness,Everything's gone wrong . 
neutral, Wow . 
anger,"I'm really fed up with Larry ! He's the biggest airhead I've ever met.He always makes careless mistakes , and he's a pain to work with . "
joy,I went to see the entrance examination results at university.  I rejoyced at my success.
sadness,My examination results were not satisfactory even though I had tried my best.  Then I started wondering about my abilities for the major subject.  However I did not know how to choose my major subject if I were to change it.
joy,Our amusement at his false assumption seemed to ease the tension between us . 
sadness, A couple of days ago . I just go back from the funeral . 
anger,Same situation as before - having my car stolen.
joy,I was admitted to the University and a niece was born to me.
neutral, why ? 
anger," Let me go to school , please ! I'm sick of medicine , sick of soup , and sick of being sick ! "
sadness,Death of a close friend.
fear,When I slept for the first time all alone in the house where I live now. A man phoned me at 2.00 am. He wanted something from me. I was afraid.
joy,Aticle published.
sadness,The death of my grandmother.
neutral, Why ? 
joy, OK . I'll try a Pinto . I want to rent a car for one week . 
sadness,"Relatives often carry enormous personal burdens , for example , the grief of losing a child 's expected bright future , or the tragic decline into senility of a loved companion . "
sadness,One night I was called and told that the father of a close friend died. When I visited my friend at home and when attending the funeral I felt very sad.
joy,"Elaine exclaimed , her delight evident as she entered the open-plan living- and dining-room decorated in a fresh lemon and blue fabric which Christina had chosen . "
anger,"I had a date with my girlfriend, the time and place had not been fixed.  I asked her to phone me an hour later as it was midnight and I did not want to disturb her family.  I waited several hours for her call, she did not call me that night."
anger,"When, for example, I was not approved to continue my studies at the Moscow University, no matter that I had the highest marks and in general the best records of all the candidates."
sadness," I just started , but the job market is very bad right now . I'm not optimistic about it . "
sadness,When my father was ill.
joy, I heard through the grapevine that your getting married . 
neutral, The radio has too many comercials . 
neutral, Thank you . I suppose I should go to see a doctor . 
neutral, Yes . 
sadness,When I received a letter telling me that my mother was very ill.
joy, Thanks ! These are beautiful . You shouldn't have ! 
fear,@ChinaReport24 China has it right regarding  Don't listen to the   rhetoric and mongering disguising #oil and #gas motives
joy,"When I knew that there were, at last, no problems in making a journey that I had been wanting to make for a long time."
joy,I felt joy when my two twin sisters were born.
neutral, No problem . 
fear,"My uncle isn't even messaging me, and him missing in my life is kind of messing with me. "
anger,"Not everybody wants   and trailed into silence , for Lily 's eyelids were now fluttering , holding back offended tears . "
sadness,"He glanced up , saw Auguste 's anguished eyes , and thought he understood . "
anger,When my father failed to send me transport money after the closure of the school.
fear,"I was walking from my friend's house, a few blocks from my house, when a car began to follow me. He waited I passed by it rotateed a little and stopped on my way. I changed completely my way and the car went on following me until I turned at a corner and running I hid in a garden of a house, waiting for the car to pass by. I went back home terribly afraid."
neutral,"Hello , Tom ! "
neutral, 92 . 
fear,I felt fear when my friend and I broke into an abandoned military base in Los Angeles this summer. I feared because I didn't want to be caught.
neutral, Here it is . 
neutral, Yeah . 
fear,"Late flight made me miss seeing @theChrisHero in Largo. Thank you, Chris, for coming to  "
sadness," It ’ s getting worse . Now he ’ s eating me out of house and home . I ’ Ve tried talking to him but it all goes in one ear and out the other . He makes himself at home , which is fine . But what really gets me is that yesterday he walked into the living room in the raw and I had company over ! That was the last straw . "
fear,Before giving a seminar to a rather large audience.
anger,When I was at an official meeting I asked a question to a person. His response was not directed at me but at the chairman.
sadness,My father told me in the letter that my mother is ill.
joy,The day some friends of mine and I decided to go to Galicia on holiday.
neutral, Yes . 
sadness, I'm sorry . I thought this was our stop . 
fear,"Small children of two or three tend to be alarmed at a banana-skin fall , not amused yet . "
anger,"When my roommate's boyfriend assaulted me. He was threatening me, calling me names and pushing me around."
sadness,When Allen at last found a crevice secure enough to trust to he looked over to find that he was peering into the little courtyard onto the rain-wet backs of the dejected horses . 
sadness,When I felt powerless to help the poor or when I don't know how to.
sadness,When I heard about the death of somebody I liked very much and I was not present either to see the person or to try to share my emotions with other friends.
neutral,"Sam , I am so sorry . It was your birthday yesterday and I completely forgot about it . "
neutral, No problem . 
sadness,"It was , however , obvious that there was some deep sadness within him . "
anger,"She was single-minded and uncompromising in her work , so that she sometimes provoked exasperation among her colleagues , a feeling immediately tempered by the admiration they felt . "
neutral, Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . 
neutral, Why ? 
anger,I was extremely indignant . 
fear,"Isaiah 54:14 I am far from oppression, and fear does not come near me.”   #promise"
neutral, Yeah . 
sadness,"Joseph , unable to follow the French , waited in anguish , not knowing what was being said . "
fear,Cleo stared at the contents with dismay . 
fear,When a guy chased me when I was out jogging.
joy,The computer at school had left out my name along with four others and I had no rights for one year.  So I was happy to find my name on the medical schhol list.
neutral, are you very close to your first-cousins ? 
anger,With the girl whom I may be loved truly. When she refused to come with me to an occasion (she was from another town).
anger,I was so angry with a patient who refused to take drugs.
sadness, I feel kind of stupid . 
sadness,A child beaten up by his mother.
joy,A look of intense amusement crossed Catherine 's face . 
neutral, not yet . 
fear,"Journalists were asked by the manager to attend a midday conference at Celtic Park in the expectation that Brady would be commenting on his dismay over anonymous , directorial criticism of the team 's progress . "
joy,"Re was at first pleased but soon realised that Hathor 's delight in killing might lead to the destruction of all mankind , which he had not intended . "
joy, I felt as if I had been in a different world . 
fear,My apartment has had three robberies in the last month. The guy upstairs just got robbed making it the fourth.
neutral, What's the route ? 
sadness,"When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up."
joy,"Hello , let me introduce myself . I'm your new neighbor . My name is Andy . "
sadness,"Many depressed people just withdraw into themselves , they may sleep a lot in the day but have wakeful nights . "
fear,My uncle was taken to the UTC for an operation as he had cancer.  There had been a lot of deaths of late - 3 out of every 4 operated.  I was scared for my uncle's life.
neutral," They ’ re fine , but I can ’ t watch a movie without popcorn . "
joy,"There have been some most tempting glimpses of it when you have become excited about a design or angry with yourself for a failure to meet your own high standards . "" "
joy,The pretty young undergraduate felt elated . 
joy,"` Yes , yes , I did , "" she told him , feeling ridiculously pleased that he was clearly enjoying her first attempt at baking a cake . "
sadness, I'm awfully sorry to have kept you waiting for so long . 
sadness,My girlfriend wanted to breakup for an indefinite amt. of time. She said that she couldn't commit herself fully to the relationship without going out with other people. I was her first boyfriend.
anger,I feel angry at people's indifference at our ability to be present at an event and to stay partial to what happens.
joy, Yes . Would you like to come here later to have a coffee ? Bring all your family . 
fear,"My girlfriend and I slept in a lonely hut (we had drunk alcool). Suddenly some soil fell on us, then some water. Although we tried hard, we could not find out the cause."
joy, It's hard to say . It depends . But I love the waltz . 
fear,"is the best movie of the 90s, forest gump doesnt get rated its so good and titanic is in a distantttttt second"
anger,"He was coming so fast that she knew he had not seen her and she had to brake sharply , frowning with exasperation . "
sadness," No , not now . I have found a part-time job.So perhaps I can help my family to come over the difficulties . "
fear,"This ` return to the sources "" discovers either that such primitive celebrations are entirely divorced from modern sexuality , or that they always concealed a deathly horror . "
joy,"When I got my first unknown compound while doing my M.Sc research, I was very happy.  This is because my research was based on this type of reactions and compounds."
joy,"I was responsible for Community Programme for the last 18 months of its life , so I 'm delighted to be involved in introducing Community Action . "
sadness, Sorry . You have to buy your ticket at the next counter . 
fear,"When he saw her horrified expression , however , he stopped being a doctor and became quite fatherly instead . "
joy, We can do that if you like . Maybe next weekend . 
neutral, The Rockets . 
sadness,I felt sadness when I remembered my former boyfriend with whom I got separated an year ago and when comparing him with my present one with whom things are not much of a success.
fear," Steven , I ... "
anger,I haven't often felt this feeling. Once someone stole my garment.
anger, Sure . You look like you're all black and blue . 
joy,"Winning a race that I had been training for, for many weeks. (Running Race)."
neutral," Of course I can . It's a piece of cake ! Believe it or not , I can do 30 push-ups a minute . "
sadness,"I was watching a sunset after my latest boyfriend left me and I realized that we would never watch sunsets again, probaly never see eachother again and none of it mattered."
anger, What happened to you last night ? You didn ’ t show up . 
neutral,I have a real problem when I meet people . 
neutral, Yes . 
joy,When I got a letter from home.
fear,I was alone in my room at the boarding house when at 12 o'clock someone knocked violently on the door.
neutral, Certainly . 
anger,"After I said something that my boyfriend disagreed with, he walked away from me without discussing what bothered him. I became very angry with him for treating me this way. Yesterday, November 14."
neutral," Yes , I have nothing to do . "
sadness,A person died (not really a friend).
joy, Take good care of yourself . 
fear,Maryland wins 4-0 over ODU - will face Carolina in NCAA Final on Sunday - they played a tremendous game - The Turtle! #Maryland
joy, There's no secret at all . The only thing for you to do is to practice more . You will succeed . 
neutral,My daughter plans to quit her present job and wants to find another . She says she wants to get a better job with higher pay . 
joy,An invitation to spend 5 days at the seaside with all expenses paid.
sadness, All right . Just give me the ticket . 
sadness,I got to know about the death of a close friend.
fear, Some people are wildly shooting on the next street . We must leave here as soon as possible ! 
joy,When I learned I was admitted to study what I wanted most - floriculture (this is a narrow specialization from the general one).
neutral, Yes . 
sadness,THE glum look on the face of England Manager Graham Taylor says it all  but he has no intention of quitting . 
joy,I was very happy when I found out that I had passed with flying colours and that I had made it to the university.
joy,"When I hooked a girl in Kitwe.  She was very beautiful for my standards, a rare bird of this kind accepted me as a boyfriend."
joy, At the gate of the park . 
fear, I've told you a thousand times . I don't want to go in the Haunted House.It ' s too scary ! 
joy,Hearing Fran Wilde introduce the Bill.
neutral, It seems quite normal to me . It is pretty much what I want to do . 
joy,When I heard that I had got the best result in school and would be definately selected to the university of Zambia.
joy,"A drop of scotch during occasional periods of self-criticism helped him to become happy with himself , but most of the time he was happy anyway . "
joy,"Well , it was nice meeting you . "
anger, Leave me ! Go away ! 
anger,My parents did not let me go on holidays with my friends.
neutral, Yeah . 
neutral, I'm afraid not . 
anger," Because I'm the wrong sex , of course ! "
fear,"When my ex boyfriend threw me around the dorms because I was talking on the phone to another guy of whom he was jealous, after we had an argument in which I thought we broke up."
neutral," In my country football is brand new , so I never learned the game when I was younger . "
sadness,Not being able to do well to be chosen for the English lecture.
fear,"In the thirtieth minute , Gary Weaving scored what looked like a perfectly good goal , only for the linesman to rule it out for offside , to everyone 's dismay . "
joy,Blank.
fear,"Rescued dogs are often somewhat nervous of people , and yet may also become excited to see you , when you have been out , for example . "
anger, Dad ! I ’ m gonna catch a cold ! 
anger, I tell you I must go ! 
sadness,My sister won a scholarship to Norway and it was particularly as she walked across the tarmac to get on the plane and she looked back at us.
sadness,"The funeral of a friend who was killed in a car accident. She was of my own age, there were many of my own friends present, as well as her family etc."
anger,And found to his annoyance that he was grinding his teeth . 
sadness,But it was the scene of my first heartbreak . 
sadness,He sounded quite sad about it . 
joy,When my 6 month old son is happy and well.
fear,At night when I was alone at home (all the family members usually get together at that time) someone knocked vigorously on the door.
anger,I wrote an assignment and was given less marks than a friend with whom I had previously discussed the assignment.
neutral, I see . 
joy,When it appeared that I was not pregnant when I was several weeks overtime.
joy,I felt joy when I came to know Christ.  That is when I became a Christian.
sadness,Watching a football game. This reminds me of the time when my father was still alive and when we watched football games on TV together.
joy,I suppose I am happy being so ` tiny' ; it means I am able to surprise people with what is generally seen as my confident and outgoing personality . 
neutral, Sure . 
sadness," I'm sorry , this is our rock bottom price . "
sadness, I lost the table tennis game yesterday . 
joy,"I 'm really happy in the group now . "" "
neutral,"Hi , Jason ! "
joy,When I was in the sauna bath.
fear,"Since the war began , Soviet military commentators , including senior serving officers , have been expressing dismay at seeing Iraq 's army , most of whose tanks and aircraft they supplied , pounded so relentlessly and effectively . "
anger,"I went to the dining hall and found that the cooks were cleaning the plates and there was no food for me, and the blue birds  (security guards) were busy eating the food that was supposed to be for me."
neutral, OK . Dad ! I'm coming . 
sadness,"The person whom I liked most left me for a friend of mine, after several months of mutual help and a profound knowledge of each other."
neutral, Fine . 
fear, I ’ m a little nervous . I ’ Ve never flown before . 
fear,You may find out that I am stupid and not to let me do your experiment.
anger, Jennifer Davies ? Give me a break ! I can't stand her . She's such a dweeb ! How could she possibly ace it when she keeps cutting class all the time ? 
joy," Yes , I hope we meet again . "
joy,Succeeding in helping others.
anger,"Albert was offended , and swung his legs athletically out of bed , wincing on the distant side of his face . "
neutral,"Hey John , nice skates . Are they new ? "
fear,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.
sadness,When I had not understood anything after a lecture.
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
sadness,"When I said good-bye to my girlfriend.  I had spent two years on developing this relationship and it was unsuccessful, I felt very sad."
anger,My best friend betrayed me and told other people my secrets.
joy, Let's enter it ! 
sadness,My grandmother died.
joy,"I was travelling in the South of Brasil, near the end of the year. I was well settled with 3 friends. At the evening of 31 M., somebody, also with us, took from his purse pints of all colours, and the 4 of us, and other friends, that were at the same beach, painted each other and we went to the beach with champagne."
anger,Last week I had planned to play tennis and had booked a tennis court.   However when I arrived at the university gym the clerk told me that the court was being used for lessons.
fear,"When my boyfriend was leaving to go home one night, I had a very deep sense of uneasiness and an unwarranted fear that I wouldn't see him again."
fear,"There was a scene of shooting in front of my house, I was very afraid. Two armed men confronting. I didn't discover the reason of the incident."
fear,"There is too much busyness in schools , staff need ` dream time "" too and also the security to try out ideas without becoming nervous about making mistakes or being afraid of failing . "
fear, The exam ! The terrible exam ! I'm not ready yet . Can you tell me how to get good marks ? 
joy,I noticed that Meryl Streep and I had similar cheekbones and jaw structure.
joy, I'm sure he'll love the idea . Just throw yourself into it and you'll enjoy it ! 
fear,Yeahh you dnt like me but still ill ride around ya side of town wit no in my blood.
fear,"and our need to always be right! RT @FredericBrussat: To live a creative life, we must lose our of being wrong.  Joseph Chilton Pearce"
joy,Tremayne was pink with gratification . 
anger,I live with my sister now and sometimes she angers me especially when she thinks I don't keep the apt. clean enough.
anger,When somebody stole my brother's disco machine.
neutral, No idea . 
neutral," Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . "
neutral," Yes , there is . Teenagers do not want to live traditional lives . They want to go out , have fun , and explore the world . They want to develop their own view of life . Parents usually try to discourage them , but they don ’ t often succeed . "
sadness,Last night I did not do very well in one of the subjects.  Before the result was announced I feared that I would fail.  Finally I got a D and as the results of the other subjects were not all      good I felt a little sad.
joy,When my brothers had passed all of their exams and were able to  graduate from their courses.
joy, This is going to be a major production for you ! 
anger,When I was a soldier I quarrelled with my commander and may be in revenge for this he detailed me on duty two successive nights. Naturally he checked me up on the second night and found me asleep for which he sent me to the cells.
fear,"not afraid of tomorrow, for I have seen yesterday and I lived today #less”"
joy,You look pale recently . 
anger," You don ’ t love me , Roy . "
anger,"Blake looked at the exasperated face of the Doctor , '  but this computer can predict what I 'm going to do . "
joy,Good news about a sick relative.
anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair).  This is when only a fractoin of the students can find an appartment.
anger,"When I saw parents punishing their little child for something he had not done.  In my opinion, even if he had done it he should not have been punished for it."
anger,My parents didn't allow me to go to a social function that all my friends were attending.
sadness, I'm afraid I can only rent it for two months . 
fear,Late one night I was pursued by gipsies who had no good intentions.
neutral," No , why ? "
joy,Congratulations ! Mr . Stuart ! You won the city marathon . 
anger,"I had an appointment downtown, and the person in question was half an hour late."
sadness,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad."
fear,I needed a recommendation for something. I decided that the best person to get one from was a professor who I had never talked to before. I felt a lot of fear going up after class to ask him to recommend me considering he had never heard my name before. But I did.
anger,When a friend who comes visiting me unexpectedly asks for coffee and I refuse to give him this.
sadness,"A sad old woman rose from her chair , as from a dais , to take their coats and hang them on a row of hooks nailed against a wall . "
neutral, I will . 
sadness,"I don't know what I'm going to do . I need to find a job . If I don't , I won't be able to stay here next semester . "
anger,Ouch ! I'm hurt . 
sadness," Sorry , but I'm on my way out now . Could you come back in an hour ? "
fear,My friend and I planned to search for old documents and utensils in the cellar. It was very late at night when we arrived in the cellar. He indicated the place where the police (40 years ago) found two dead bodies. I got very scared when he told me this story.
fear,I came home and discovered that someone had broken in. Then I realized that they probably were still there.
sadness,"Discovering that Lillehammer provided no musical environment that suits my taste, even though I had been told so."
anger,The stories about the way my grandmother treated my mother.
sadness,When one is alone and knows that all the others are celebrating.
fear,Practicing wind-surf my body was caught under the sail. On trying to get out my leg was caught in the lashing. I was afraid of dying by asphixia.
anger,I was very hungry and just wanted to start eating when a friend called me who usually talks for a long time. I was angry because I was prevented from eating.
anger, And thank you very much for letting me keep it so long . 
joy,"Went to a movie with a date, walked on the beach (in Alameda) spent some time afterwards in her apt."
neutral, Goodbye ! 
sadness,I experienced tears of real grief for the first time when my granny died . 
anger,The members of the branch were indignant that the government should have planted two spies among them . 
sadness,My son's mother told me that she wanted to move to Vienna and take the child with her. This means a rather long distance for me. My whole family was sad and dumbfounded so that my own feelings were intensified.
joy,I was called and invited to have a talk about a job I wanted to have.
joy," Great , here are some flowers for you . I hope you like them . I was not sure if the color will suit your new apartment . "
anger,What a terrible house ! 
sadness,When I was told a friend's baby had been born with only partial sight. This was her first child and she was not young (the mother that is).
sadness," Yes , he's really pushed me too far . "
fear,Someone must have buried them when they were too frightened to hand them in to the police station . 
fear,"When my son fell off the cot at the age of 5 months, I became very nervous and thought that it would cause defects in his head.  "
sadness,There was an anguished cry from the tub . 
neutral, What is it ? 
fear,She was also worried about having to manage the farm by herself again . 
anger," I have told him how to do it several times , but he's never listened to me . "
fear,"If there is continuing disquiet about the way an industry is being run , Members can express their disquiet by questioning the fitness of the persons appointed by the Government to run it . "
sadness,"Protagonists of unity may have been despondent about the loss of the EDC and the European Political Community , but were not routed . "
fear,"I was hunting, and was lost in the fog in the mountains."
anger," Go on your vacation with Mark and when you come back , why don't you just move in with him as well ! "
joy,"I was very glad when I learned I was a student already. I heard about it over the phone, I didn't believe it at first."
sadness,When my grandmother died - at her funeral.
joy,When I passed a very important exam.
sadness, Perhaps . I'm dead tired . 
sadness, The post office.Sorry . I ’ m not sure . 
sadness, Frank has gone out with Lucy again . 
neutral, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
neutral, that ’ s true . I ’ m wondering did you learn anything from the job ? 
fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
neutral, Which link ? 
joy, I can't agree more . 
neutral,Wait for me 。 
sadness, I'm afraid I can't . Parking is not allowed here . 
anger," No , we got no receipt , but we paid on the spot . "
fear,and terror only brings more violence and war. war only dehumanizes EVERYONE. times like these *need* dissent. #ows #occupy
anger, Just get out of my face ! 
anger,"Jack was mad and even madder with the American scandal magazine the National Enquirer , too , although that was nothing new . "
sadness,"` Harry , we 're going to make ourselves miserable beyond measure if we go on like this . "
fear,Heavy night last night last night with @joshsimpson14. Now drive back home and work tomorrow 
fear,"When I was a child, one day, I was going home late at night and I did not notice an uncovered man hole and fell in it.  I was in there for several minutes."
sadness,When my grandmother died after a long illness.
anger, Didn ’ t you tell him you have an appointment ? 
sadness, Oooo . This sounds serious . 
anger," There's no hot water , and the building is falling apart ! "
sadness, Wait a minute . I am really sorry but I can't find it now . 
sadness,"The truth was that Mr Wolski was sad with himself , for he did not wish to stay on at the Zoo any longer . "
joy," Maybe it's a good things . If you don't have to go to Hong Kong , you can take a break and take things easy for a while . "
anger, What do you think I should do about it ? 
joy,When I was informed that a short story I had written had been accepted for publication.
joy,I unexpectedly got a present from my father.
fear,When two drug addicts tried to take away my money.
joy, It must be old . 
fear,When I forgot the lines of the play during an orientation camp.
sadness,He was inconsolable when he found what she 'd done . 
neutral, Are these seats okay ? 
joy,He seemed happy with this . 
joy, Any time . I'm just glad I could help . 
neutral, What ? 
sadness,There was real anguish in his eyes . 
joy,I remember being highly amused at his rendering of a young rook 's cry whilst gobbling a worm : it was perfectly true to nature  . 
neutral," We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . "
sadness,General Ye Jianying died.
joy, Then does it go well with my sweater ? 
fear,Police became increasingly concerned for their prisoner 's health over the weekend . 
sadness," Sorry , mum . I won't do it again . "
neutral, Sure . 
fear,One night I and my friends went to the cemetery. We stopped the car in front of the wall and suddenly the grave digger appeared over the wall looking like a ghost. I was already afraid and almost died.
neutral, I believe industry is making us wealthier . 
sadness, Maybe . But it still gets on my nerves . 
sadness," I'm sorry , I overslept . "
sadness,"On the other hand , the most important person , the cameraman , wore jeans and a Micky Mouse T-shirt , over which his mournful , deadpan moon face shone incongruously . "
anger,"I was on vacation, and therefore I did not attend a meeting of the day care centre.  Nevertheless, the very day I came back they called me early morining to ask me \what are you going to do about the matter ?\"" (which had been discussed in the meeting).  Then I got angry."""
neutral, Dance class ! I don't know how . 
fear,"We hadn't gone very far when we met up with another Lancaster returning from a Cook 's Tour , and to my horror the two aircraft then flew wing-tip to wing-tip all the way home . "
joy,"When I got home from my job, I found a letter from the university telling me that I had been admitted to begin my studies."
joy,When my son returned from mountaineering - healthy in body and soul.
fear,"When I was on a cave excursion with friends, I suddenly lost them and was afraid of losing my way in the cave."
neutral, Yeah . 
neutral, You often like comparing children with their parents . 
fear,Someone attacked me with a knife.
neutral, How come ? 
neutral," Yes , I am . "
neutral, Alright . We are out of everything . 
sadness,A friend breaking up with her boyfriend.
anger, It is stupid to say so . 
neutral, OK . 
neutral, Yes . 
anger,"When my mother told things to my sister, which I told my mother in confindence."
fear,A relative died.
neutral, Yes . 
fear,"I felt so afraid when dad fell ill, he had never suffered from that disease since and I had never seen him as he was."
joy,The Lord is my light and salvation - Whom shall I fear? fear is Not an option! I am finally delighted and happy
joy, You'd like it . 
joy, I think that might work for me as well . 
sadness,"When my grandfather died. When I heard about his death, I had a bad feeling in my stomach and I felt as if I had lost something very precious."
sadness,I feel sadness from the fact that I was not born with a better appearance.
anger,"I was at the corner shop, which I patronise regularly I had only a $ 50 note and I purchased about $ 3 worth of goods that I really needed - the keeper made sarcastic remarks to others about people using him to cash notes."
joy,"And suddenly they found themselves talking the sort of language that all of us can understand , and they got quite excited about this . "
neutral," I'm not sure , he is a manager I think . "
anger," It ’ s so wet and dark , I ’ m just fed up . "
anger,"I could tell she was angry and I was ready to cry , but Frankie pulled me roughly back off the step and we turned to leave . "
neutral, Yes . 
anger,I was angry when someone stole a magazine which I had borrowed from another friend and locked it in a drawer.
sadness,When I thought that it was going to be impossible for me to start studying (due to wrong information from the student advisor).
neutral, Mom ? 
joy,"Temperamental differences operate once more with this new trio of junior heroes , whose elders , the three lieutenants , regard their pranks with mild amusement . "
anger,My roommate being unconsiderate.
neutral, Okay . 
anger,"A friend of mine had promised to arrange me some tickets for a concert which I considered important.  He could not get them the way he thought he would, so he gave up the whole thing."
neutral, It's okay . 
anger,"ICC chairman Sir Colin Cowdrey ( left ) is clearly furious that every time he has been ready to make a statement about the Texaco Trophy events of August 23 , Pakistan 's lawyers have threatened writs . "
joy,But now she looked excited . 
anger,A murder.
joy,"` I 'm delighted you 're so pleased to see me . "" "
joy,"Applause rang out , and she twirled around to acknowledge it in demure delight , clapping the barman -- and then being crushed against the ample bosom of the barman 's wife . "
anger,"A close friend first said he accepted an agreement, but later used that agreement as a reason for attacking me."
joy,"When she was ecstatic , and she was often ecstatic , ecstasy flew from her face like the sun from a mirror . "
joy,"Pleasure can be no more than a gourmet 's appreciation for delicacies , whereas a happy person can readily settle for a much simpler diet . "
sadness,"I had been living in an overseas city and made the decision to leave the city and come home about 12 months before I met a whole new set of friends, leaving them at the airport was sad and traumatic as they had helped me in many ways and I knew I wouldn't see many of them again."
sadness,After an exam which I failed.
sadness, I ’ m sorry . We don't haven any . 
fear,When I was nearly beaten up by the brother of my girlfriend.
joy,Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).
joy,A quarrel was followed by the decision of leaving a person close to me. Several days later my regret was great. I was beside myself. Quite unexpectedly he came and the conflict was calmly solved. I was glad at the possibility to be with him.
joy,After much trouble getting together in the first place my boyfriend and I celebrated our first anniversary.
joy,"Blake says how pleased he is with the firm 's improved performance , acknowledging the considerable efforts and progress it has made . "
sadness," Well , I'm really worried about my grades . I didn't think this course would be so stressful . "
joy, Tango is my favorite . Anything but hip-hop or the foxtrot . ( the music has stopped ) 
fear,"` When a police sergeant revisited Mr Thompson he was still clearly the worse for drink and was in an agitated state . "" "
anger,"In icy tones , the offended bureaucrat replied : ` For future reference , you will call me Mr Hooton , not Richard . "" "
joy,Then in his foolish exhilaration he had leaped into a tree and spotted them with his binoculars . 
sadness,The glum look on his face was probably normal . 
anger,"When the others did not do their bit of work on a group assignment task, and I had to do all the work."
fear,"I was driving my car and it was very misty. It was in the night and I was alone in my car. I felt totally insecure, nervous and overstrained."
fear,A car came very close to hitting me whilst I was crossing the street.
anger,"Laura 's normally full , warm lips tightened with annoyance . "
sadness," Worse still , he is trying to avoid me these days . "
anger,"Recently when my sister, who is four years younger than me and very spoiled, shouted at my mother for no apparent reason .  The heart-broken expression on my mother's face made me feel very angry."
neutral, It's exactly twelve minutes past seven . 
neutral,What is up ? 
anger,When boyfriend lied to me.
neutral, Good luck ! 
anger,Why didn't you tell me you had a girlfriend ? 
sadness,When I read a lot and did not remember anything.
joy,"He laughed , showing his white , sharp teeth , pleased with his joke . "
joy,When I found out that I can travel with my best friend.
joy,"` We are delighted to help the museum extend its collection , "" said Mr Watson . "
fear,"Meanwhile Crowe , who had been watching the carnage unfold from the other end with increasing horror , unfurled some strokes of class in an attempt to ease the situation . "
neutral, I think lifelong learning is the concept that it's never too soon or too late for learning 
fear,It was the time when I was in no position to secure a Ist class in the M.Sc exam and this was likely to affect my career.
sadness,"After blowing up and saying all the wrong things, I realized what I had done and hurt that person and myself."
sadness, I had a bad day yesterday . 
sadness,"In the event , Maman was inconsolable . "
neutral, Kobe . 
neutral, You are bragging again . 
fear,You 're frightened to go to sleep . 
neutral, It's OK . 
fear,When I went out with my dog in a forest late at night when we were on a camping.
anger,When I was at S.Y. Bajaj I wanted to get admission in another college and this was not easy and I felt angry. 
fear,"Once sitting in the cinema, I became very anxious (watching a \cold\"" film). I do not know the reason."""
anger, I really have no idea . All I know is that the thought of him really curls my hair ! 
fear,When my cat ran under a car and came home wounded. He could hardly walk. I didn't dare to go to a veterinarian because I was afraid he would kill him.
anger," Oh , gag me ! She's totally gross ! "
anger,On the TV news I heard that Nicaragua had complained about the increasing threat of war with the USA.
sadness,When a friend died.
fear,In order to  your desire for  has to be greater than your of #failure. ~Bill Cosby
anger," I believe that was a wedding present to both of us , Joanne . And you hardly ever use it ! "
fear,"Emmeline grew pale , both from horror at Bastide 's plight and her own . "
neutral, Not yet . 
sadness,I 'm particularly sad my mother hasn't had the opportunity to buy even his MC . 
fear,I was driving on to a busy freeway during rush hour and it was slightly raining. A diesel truck was coming very close behind me and I was close behind a pick-up. I changed lanes and barely hit the truck and ran a Honda of the road. I was scared to death to go back and see if I caused him to crash.
fear,"Not unexpectedly , the residents of Chiswick became alarmed at the prospect , but the acquisition proceeded of the properties on the proposed route . "
